"","establishment_name","type","naics1","seq_no","industry","description"
"1","J&B Logging, Llp","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"2","George'S Farms, Inc","Fat/Cat","311615",318,"Poultry Processing","This U.S. industry comprises establishments primarily engaged in (1) slaughtering poultry and small game and/or (2) preparing processed poultry and small game meat and meat byproducts.

Cross-References. Establishments primarily engaged in--"
"3","Davis Iron & Metal, Inc.","Fat/Cat","423930",981,"Recyclable Material Merchant Wholesalers","This industry comprises establishments primarily engaged in the merchant wholesale distribution of automotive scrap, industrial scrap, and other recyclable materials.  Included in this industry are auto wreckers primarily engaged in dismantling motor vehicles for the purpose of wholesaling scrap.

Cross-References. Establishments primarily engaged in--"
"4","The Kroger Co.","Fat/Cat","445110",1098,"Supermarkets and Other Grocery Retailers (except Convenience Retailers)","This industry comprises establishments generally known as supermarkets and other grocery retailers (except convenience retailers) primarily engaged in retailing a general line of food, such as canned and frozen foods; fresh fruits and vegetables; and fresh and prepared meats, fish, and poultry.  Included in this industry are delicatessen-type establishments primarily engaged in retailing a general line of food.

Cross-References. Establishments primarily engaged in--"
"5","Terry Jones","Fat/Cat","561730",1701,"Landscaping Services","This industry comprises (1) establishments primarily engaged in providing landscape care and maintenance services and/or installing trees, shrubs, plants, lawns, or gardens and (2) establishments primarily engaged in providing these services along with the design of landscape plans and/or the construction (i.e., installation) of walkways, retaining walls, decks, fences, ponds, and similar structures.

Cross-References. Establishments primarily engaged in--"
"6","Waste Recycling Services, Inc.","Fat/Cat","562998",1732,"All Other Miscellaneous Waste Management Services","This U.S. industry comprises establishments primarily engaged in providing waste management services (except waste collection, waste treatment and disposal, remediation, operation of materials recovery facilities, septic tank pumping and related services, and waste management consulting services).

Illustrative Examples:

Beach cleaning and maintenance services
Sewer or storm basin cleanout services
Catch basin cleaning services
Tank cleaning and disposal services, commercial or industrial
Sewer cleaning and rodding services


Cross-References. Establishments primarily engaged in--"
"7","Tracy Efird","Fat/Cat","113310",107,"Logging","This industry comprises establishments primarily engaged in one or more of the following: (1) cutting timber; (2) cutting and transporting timber; and (3) producing wood chips in the field.

Cross-References. Establishments primarily engaged in--"
"8","Julian Contracting, Inc.","Fat/Cat","238210",248,"Electrical Contractors and Other Wiring Installation Contractors","This industry comprises establishments primarily engaged in installing and servicing electrical wiring and equipment.  Contractors included in this industry may include both the parts and labor when performing work.  These contractors may perform new work, additions, alterations, maintenance, and repairs.

Illustrative Examples:

Airport runway lighting contractors
Fiber optic cable (except transmission line) contractors
Alarm system (e.g., fire, burglar), electric, installation only
Highway, street, and bridge lighting and electrical signal installation
Audio equipment (except automotive) installation contractors
Home automation system installation
Lighting system installation
Cable television hookup contractors
Telecommunications equipment and wiring (except transmission line) installation contractors
Computer and network cable installation
Traffic signal installation
Environmental control system installation
Cable splicing, electrical or fiber optic


Cross-References. Establishments primarily engaged in--"
"9","Kajacs Contractors, Inc.","Fat/Cat","237110",214,"Water and Sewer Line and Related Structures Construction","This industry comprises establishments primarily engaged in the construction of water and sewer lines, mains, pumping stations, treatment plants, and storage tanks.  The work performed may include new work, reconstruction, rehabilitation, and repairs.  Specialty trade contractors are included in this industry if they are engaged in activities primarily related to water, sewer line, and related structures construction.  All structures (including buildings) that are integral parts of water and sewer networks (e.g., storage tanks, pumping stations, water treatment plants, and sewage treatment plants) are included in this industry.

Illustrative Examples:

Distribution line, sewer and water, construction
Sewer main, pipe and connection, construction
Fire hydrant installation
Storm sewer construction
Irrigation systems construction
Water main and line construction
Sewage disposal plant construction
Water treatment plant construction
Pumping station, water and sewage system, construction
Water system storage tank and tower construction
Reservoir construction
Water well drilling, digging, boring, or sinking (except water intake wells in oil and gas fields)


Cross-References. Establishments primarily engaged in--"
"10","Nibco Inc.","Fat/Cat","331511",618,"Iron Foundries","This U.S. industry comprises establishments primarily engaged in pouring molten pig iron or iron alloys into molds to manufacture castings (e.g., cast iron manhole covers, cast iron pipe, cast iron skillets).  Establishments in this industry purchase iron made in other establishments.

Cross-References."
