"","x","number","activity","date_opened","rid","st","type","scope","sic","naics","violations","establishment_name"
"1",NA,1,1751707.015,"05/31/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,236118,NA,"Veritas Restoration South Llc"
"2",NA,2,1751889.015,"05/30/2024",627100,"AR","Complaint","Partial",NA,722310,NA,"Aramark"
"3",NA,3,1751740.015,"05/30/2024",627100,"AR","Fat/Cat","Complete",NA,311111,NA,"Pet Solutions, Llc"
"4",NA,4,1751873.015,"05/30/2024",627100,"AR","Prog Related","Complete",NA,484110,NA,"Roger Brian Boyer"
"5",NA,5,1751697.015,"05/30/2024",627100,"AR","Fat/Cat","Partial",NA,221122,NA,"Arkansas Electric Cooperative, Inc"
"6",NA,6,1751660.015,"05/29/2024",627100,"AR","Referral","Partial",NA,424990,NA,"Anchor Packaging, Llc"
"7",NA,7,1749626.015,"05/21/2024",627100,"AR","Complaint","Partial",NA,336612,NA,"Waco Mfg., Inc."
"8",NA,8,1749525.015,"05/21/2024",627100,"AR","Complaint","Partial",NA,424590,NA,"Shansky F. Song, Llc"
"9",NA,9,1749683.015,"05/21/2024",627100,"AR","Referral","Partial",NA,333318,NA,"J.V. Manufacturing. Inc."
"10",NA,10,1750109.015,"05/21/2024",627100,"AR","Complaint","Partial",NA,424590,NA,"Shansky F. Song, Llc"
"11",NA,11,1748552.015,"05/16/2024",627100,"AR","Referral","Partial",NA,311212,NA,"Black River Commodities, Llc"
"12",NA,12,1748542.015,"05/16/2024",627100,"AR","Planned","Partial",NA,238130,NA,"Pablo Resendiz"
"13",NA,13,1748536.015,"05/16/2024",627100,"AR","Prog Related","Partial",NA,238990,NA,"Elmo'S Boom Truck Service , Inc"
"14",NA,14,1748340.015,"05/15/2024",627100,"AR","Unprog Other","Partial",NA,238220,NA,"Mid-Central Plumbing Co, Inc."
"15",NA,15,1748778.015,"05/14/2024",627100,"AR","Monitoring","Partial",NA,484110,NA,"Lew Thompson & Son Trucking, Inc."
"16",NA,16,1747908.015,"05/14/2024",627100,"AR","Referral","Partial",NA,311212,NA,"Producers Rice Mill, Inc."
"17",NA,17,1747631.015,"05/10/2024",627100,"AR","Unprog Other","Partial",NA,238160,NA,"Mhd Gutter And Concrete Co"
"18",NA,18,1746265.015,"05/07/2024",627100,"AR","Referral","Partial",NA,115114,NA,"Black River Commodities, Llc"
"19",NA,19,1748071.015,"05/07/2024",627100,"AR","Referral","No Insp/Exempt Voluntary",NA,326220,NA,"Grt Rubber Technologies Llc"
"20",NA,20,1747044.015,"05/06/2024",627100,"AR","Referral","Partial",NA,336612,NA,"Aluma-Weld, Inc."
"21",NA,21,1745747.015,"05/03/2024",627100,"AR","Complaint","Partial",NA,445110,NA,"Kroger Limited Partnership 1"
"22",NA,22,1745496.015,"05/02/2024",627100,"AR","Complaint","Partial",NA,424470,NA,"Boars Head Provision Company, Inc."
"23",NA,23,1745679.015,"05/02/2024",627100,"AR","Unprog Other","Partial",NA,236220,NA,"Kevin Horton Properties"
"24",NA,24,1745631.015,"05/02/2024",627100,"AR","Unprog Other","Partial",NA,238120,NA,"L & R Construction Llp"
"25",NA,25,1745008.015,"05/01/2024",627100,"AR","Complaint","No Insp/Out of Business",NA,336212,NA,"Proform Trailers, Inc."
"26",NA,26,1744509.015,"04/29/2024",627100,"AR","Complaint","Partial",NA,624230,NA,"Medic Rental, Inc."
"27",NA,27,1743659.015,"04/24/2024",627100,"AR","Complaint","Partial",NA,447110,NA,"Jordan'S Kwik Stop, Inc."
"28",NA,28,1743361.015,"04/23/2024",627100,"AR","Prog Related","Partial",NA,236220,NA,"Commercial Industrial Residential Building Services, Inc."
"29",NA,29,1743307.015,"04/23/2024",627100,"AR","Prog Related","Partial",NA,238130,NA,"David Aguilar"
"30",NA,30,1743418.015,"04/23/2024",627100,"AR","Planned","Partial",NA,238130,NA,"Jose Luis Recendiz"
"31",NA,31,1742941.015,"04/22/2024",627100,"AR","Referral","Complete",NA,331222,NA,"Tokusen Usa, Inc"
"32",NA,32,1743036.015,"04/22/2024",627100,"AR","Unprog Rel","Partial",NA,221310,NA,"Gmc Pump Company"
"33",NA,33,1742766.015,"04/19/2024",627100,"AR","Complaint","Complete",NA,321920,NA,"Propak Logistics, Llc"
"34",NA,34,1742738.015,"04/18/2024",627100,"AR","Complaint","Partial",NA,446120,NA,"Ulta Salon, Cosmetics & Fragrance, Inc."
"35",NA,35,1742163.015,"04/17/2024",627100,"AR","Complaint","Complete",NA,332812,NA,"Industrial Metal Finishing, Inc."
"36",NA,36,1742005.015,"04/17/2024",627100,"AR","Complaint","Partial",NA,332812,NA,"Industrial Metal Finishing, Inc."
"37",NA,37,1741528.015,"04/17/2024",627100,"AR","Fat/Cat","Partial",NA,113310,NA,"J&B Logging, Llp"
"38",NA,38,1742126.015,"04/17/2024",627100,"AR","Referral","Complete",NA,331110,NA,"Nucor Steel Arkansas"
"39",NA,39,1741253.015,"04/15/2024",627100,"AR","Complaint","Complete",NA,311412,NA,"De Wafelbakkers, Llc"
"40",NA,40,1741254.015,"04/15/2024",627100,"AR","Referral","Complete",NA,311412,NA,"De Wafelbakkers, Llc"
"41",NA,41,1741113.015,"04/12/2024",627100,"AR","Unprog Other","Partial",NA,238160,NA,"Roberto Gomez"
"42",NA,42,1740949.015,"04/12/2024",627100,"AR","Planned","No Insp/Process Inactive",NA,453998,NA,"Unknown"
"43",NA,43,1740885.015,"04/12/2024",627100,"AR","Referral","Partial",NA,238160,NA,"Servio Avila"
"44",NA,44,1741248.015,"04/12/2024",627100,"AR","Referral","Partial",NA,337215,NA,"L. A. Darling Company Llc"
"45",NA,45,1744091.015,"04/12/2024",627100,"AR","Unprog Rel","Partial",NA,561311,NA,"Temps Plus, Inc"
"46",NA,46,1740672.015,"04/11/2024",627100,"AR","Referral","Partial",NA,562998,NA,"Hill Services, Inc"
"47",NA,47,1740568.015,"04/11/2024",627100,"AR","Complaint","Partial",NA,334310,NA,"Elite Core Enterprises, Llc"
"48",NA,48,1740242.015,"04/10/2024",627100,"AR","FollowUp","Partial",NA,337124,NA,"Boltz, L.L.C."
"49",NA,49,1740447.015,"04/10/2024",627100,"AR","Referral","Partial",NA,532412,NA,"Maxim Crane Works, Lp"
"50",NA,50,1739962.015,"04/09/2024",627100,"AR","FollowUp","No Insp/Other",NA,337124,NA,"Boltz, L.L.C."
"51",NA,51,1740150.015,"04/09/2024",627100,"AR","Complaint","No Insp/Process Inactive",NA,999999,NA,"Unknown/Invalid Establishment"
"52",NA,52,1739390.015,"04/04/2024",627100,"AR","Unprog Rel","Partial",NA,561320,NA,"Collier Investments, Inc"
"53",NA,53,1737705.015,"03/28/2024",627100,"AR","Planned","Complete",NA,238320,NA,"Timco Blasting & Coating, Inc."
"54",NA,54,1737448.015,"03/26/2024",627100,"AR","Referral","Partial",NA,311615,NA,"Custom Craft Poultry, Llc"
"55",NA,55,1736233.015,"03/21/2024",627100,"AR","Planned","Complete",NA,311212,NA,"Busch Agricultural Resources, Llc"
"56",NA,56,1737029.015,"03/21/2024",627100,"AR","Referral","No Insp/Process Inactive",NA,811111,NA,"Yankees'S Garage"
"57",NA,57,1735257.015,"03/18/2024",627100,"AR","Complaint","Partial",NA,484110,NA,"Rich Transport, Llc"
"58",NA,58,1734477.015,"03/14/2024",627100,"AR","Referral","Partial",NA,339950,NA,"Interstate Highway Signs"
